Name,Iata,Icao,Lat,Lon,Country,Alt,City
Darwin International Airport,DRW,YPDN,-12.4147,130.876663,Australia,103,Darwin
Dasoguz Airport,TAZ,UTAT,41.761101,59.826698,Turkmenistan,272,Dasoguz
Datong Yungang Airport,DAT,ZBDT,40.055538,113.481361,China,3442,Datong
Davao City Francisco Bangoy International Airport,DVO,RPMD,7.125522,125.645699,Philippines,96,Davao
Davenport Municipal Airport,DVN,KDVN,41.610298,-90.588303,United States,751,
David Enrique Malek International Airport,DAV,MPDA,8.391003,-82.434898,Panama,89,David
Davis Plateau Skiway,QAD,AT07,-68.469635,78.790894,Antarctica,1528,
Dawadmi Domestic Airport,DWD,OEDW,24.445545,44.1287,Saudi Arabia,3249,Dawadmi
Dawei Airport,TVY,VYDW,14.1,98.199997,Myanmar (Burma),84,Dawei
Dawson Community Airport,GDV,KGDV,47.13871,-104.806999,United States,2458,Glendive
Dawson Creek Airport,YDQ,CYDQ,55.742329,-120.182999,Canada,2148,Dawson Creek
Dayong Zhangjiajie Hehua Airport,DYG,ZGDY,29.107121,110.445686,China,692,Dayong
Dayrestan Qeshm Island Airport,GSM,OIKQ,26.757778,55.905277,Iran,27,Gheshm I.
Dayton International Airport,DAY,KDAY,39.90237,-84.219299,United States,1009,Dayton
Dayton Wright Brothers Airport,MGY,KMGY,39.58889,-84.224998,United States,957,Dayton
Daytona Beach International Airport,DAB,KDAB,29.185192,-81.060829,United States,34,Daytona Beach
Dazhou Heshi Airport,DAX,ZUDX,31.135012,107.426888,China,918,Dazhou
Deadhorse Airport,SCC,PASC,70.194748,-148.464996,United States,67,Deadhorse
Deadman's Cay Airport,LGI,MYLD,23.17901,-75.093498,Bahamas,9,Dead Man's Cay
Dease Lake Airport,YDL,CYDL,58.422218,-130.031998,Canada,2600,Dease Lake
Deauville Saint Gatien Airport,DOL,LFRG,49.363331,0.16,France,479,Deauville
Debrecen International Airport,DEB,LHDC,47.488911,21.61533,Hungary,359,Debrecen
Decatur Airport,DEC,KDEC,39.830002,-88.860001,United States,682,Decatur
Decatur Pryor Field Regional Airport,DCU,KDCU,34.652699,-86.945396,United States,592,
Deer Lake Airport,YVZ,CYVZ,52.666668,-94.5,Canada,1100,Deer Lake
Deer Lake Regional Airport,YDF,CYDF,49.210831,-57.3913,Canada,72,Deer Lake
Deering Airport,DRG,PADE,66.071198,-162.759888,United States,15,Deering
Dehradun Jolly Grant Airport,DED,VIDN,30.18968,78.180252,India,1831,Dehra Dun
Dekai Nop Goliat Airport,DEX,WAVD,-4.853996,139.485672,Indonesia,180,
Del Carmin Sayak Airport,IAO,RPNS,9.858889,126.013885,Philippines,10,Siargao
Del Rio International Airport,DRT,KDRT,29.374201,-100.927002,United States,1002,Del Rio
Delhi Indira Gandhi International Airport,DEL,VIDP,28.5665,77.103081,India,777,Delhi
Delingha Airport,HXD,ZLDL,37.125,97.268608,China,9383,
Delma Island Airport,ZDY,OMDL,24.508333,52.335278,United Arab Emirates,19,
Den Helder Airport,DHR,EHKD,52.923351,4.780625,Netherlands,3,De Kooy
Denizli Cardak Airport,DNZ,LTAY,37.785561,29.70129,Turkey,2795,Denizli
Denpasar Ngurah Rai International Airport,DPS,WADD,-8.74816,115.167099,Indonesia,14,Denpasar
Denton Enterprise Airport,QQD,KDTO,33.200832,-97.198059,United States,642,Denton
Denver Centennial Airport,APA,KAPA,39.57011,-104.848999,United States,5885,Denver
Denver Front Range Airport,QQH,KFTG,39.785278,-104.543053,United States,5512,Denver
Denver International Airport,DEN,KDEN,39.858784,-104.673882,United States,5433,Denver
Denver Rocky Mountain Metropolitan Airport,BJC,KBJC,39.900002,-105.110001,United States,5673,Broomfield-CO
Dera Ghazi Khan Airport,DEA,OPDG,29.961,70.485901,Pakistan,492,Dera Ghazi Khan
Derby Airport,DRB,YDBY,-17.370001,123.661003,Australia,24,Derby
Des Moines International Airport,DSM,KDSM,41.53397,-93.663002,United States,958,Des Moines
Dessie Kombolcha Airport,DSE,HADC,11.111111,39.724998,Ethiopia,6117,Dessie
Destin Fort Walton Beach Airport,DSI,KDTS,30.399591,-86.470879,United States,18,Destin
Destin Fort Walton Beach International Airport,VPS,KVPS,30.48333,-86.525299,United States,87,Valparaiso
Detroit Coleman A. Young International Airport,DET,KDET,42.409191,-83.009804,United States,626,Detroit
Detroit Lakes Airport,DTL,KDTL,46.826389,-95.886108,United States,1396,
Detroit Metropolitan Wayne County Airport,DTW,KDTW,42.21244,-83.353302,United States,645,Detroit
Detroit Willow Run Airport,YIP,KYIP,42.23772,-83.529999,United States,716,Detroit
Devils Lake Regional Airport,DVL,KDVL,48.113056,-98.907501,United States,1455,Devils Lake
Devonport Airport,DPO,YDPO,-41.169724,146.430283,Australia,33,Devonport
Dezful Airport,DEF,OIAD,32.438828,48.384682,Iran,500,Dezful
Dhaalu Kudahuvadhoo Airport,DDD,VRMU,2.667222,72.892776,Maldives,6,
Dhaka Shahjalal International Airport,DAC,VGHS,23.84333,90.397781,Bangladesh,30,
Dhangadhi Airport,DHI,VNDH,28.753332,80.581947,Nepal,690,Dhangarhi
Dharamsala Gaggal Kangra Airport,DHM,VIGG,32.165001,76.263,India,2525,Kangra
Dharavandhoo Airport,DRV,VRMD,5.15,73.129997,Maldives,6,DHARAVANDHOO
Dibrugarh Airport,DIB,VEMN,27.48385,95.016922,India,362,Mohanbari
Dickinson Theodore Roosevelt Regional Airport,DIK,KDIK,46.797329,-102.801003,United States,2592,Dickinson
Dien Bien Phu Airport,DIN,VVDB,21.397499,103.008003,Vietnam,1611,Dienbienphu
Dijon Longvic Airport,DIJ,LFSD,47.265831,5.095,France,726,Dijon
Dikson Airport,DKS,UODD,73.517807,80.379669,Russia,47,Dikson
Dili Presidente Nicolau Lobato International Airport,DIL,WPDL,-8.54641,125.524803,Timor-Leste (East Timor),25,Dili
Dillingham Airport,DLG,PADL,59.044659,-158.505005,United States,82,Dillingham
Dillon Airport,DLN,KDLN,45.255402,-112.553001,United States,5241,
Dimapur Airport,DMU,VEMR,25.879816,93.772865,India,485,Dimapur
Dinard Pleurtuit Saint-Malo Airport,DNR,LFRD,48.587769,-2.08,France,219,Dinard
Dipolog Airport,DPL,RPMG,8.601389,123.334442,Philippines,12,Dipolog
Dire Dawa International Airport,DIR,HADR,9.6247,41.854198,Ethiopia,3829,Dire Dawa
Diu Airport,DIU,VA1P,20.716667,70.916664,India,31,Diu
Divinopolis Airport,DIQ,SNDV,-20.1807,-44.870899,Brazil,2608,Divinopolis
Diyarbakir Airport,DIY,LTCC,37.89389,40.201012,Turkey,2251,Diyabakir
Djanet Inedbirene Airport,DJG,DAAJ,24.292761,9.452444,Algeria,3169,Djanet
Djerba Zarzis International Airport,DJE,DTTJ,33.875031,10.77546,Tunisia,19,Djerba
Djibouti Ambouli International Airport,JIB,HDAM,11.54733,43.159481,Djibouti,49,Djibouti
Dnipro Dnipropetrovsk International Airport,DNK,UKDD,48.35722,35.100552,Ukraine,481,Dnepropetrovsk
Dodge City Regional Airport,DDC,KDDC,37.763119,-99.965401,United States,2596,Dodge City
Dodoma Airport,DOD,HTDO,-6.17043,35.752571,Tanzania,3637,Dodoma
Doha Hamad International Airport,DOH,OTHH,25.272524,51.608604,Qatar,13,
Doha International Airport,DIA,OTBD,25.261059,51.565094,Qatar,35,Doha
Dole Jura Airport,DLE,LFGJ,47.04277,5.435,France,645,Dole
Dolpa Airport,DOP,VNDP,28.985701,82.819099,Nepal,8200,Dolpa
Dominica Douglas Charles Airport,DOM,TDPD,15.54702,-61.299999,Dominica,73,Dominica
Doncaster Sheffield Airport,DSA,EGCN,53.47472,-1.00444,United Kingdom,55,
Donegal Airport,CFN,EIDL,55.044189,-8.341,Ireland,30,Dongloe
Donetsk Sergey Prokofiev International Airport,DOK,UKCC,48.073608,37.739719,Ukraine,791,Donetsk
Dong Hoi Airport,VDH,VVDH,17.514999,106.590553,Vietnam,59,
Dongying Shengli Airport,DOY,ZSDY,37.510277,118.784447,China,13,
Doomadgee Airport,DMD,YDMG,-17.940001,138.820007,Australia,153,Doomadgee
Dortmund Airport,DTM,EDLW,51.518311,7.612242,Germany,425,Dortmund
Dothan Regional Airport,DHN,KDHN,31.321329,-85.4496,United States,400,Dothan
Douala International Airport,DLA,FKKD,4.006081,9.719481,Cameroon,33,Douala
Dourados Airport,DOU,SBDO,-22.202778,-54.925556,Brazil,1503,
Dover Air Force Base,DOV,KDOV,39.129501,-75.466003,United States,29,Dover
Doylestown Airport,DYL,KDYL,40.333,-75.122299,United States,394,Doylestown
Drake Bay Airport,DRK,MRDK,8.718889,-83.639046,Costa Rica,22,Puntarenas
Dresden Airport,DRS,EDDC,51.132759,13.76716,Germany,755,Dresden
Dryden Regional Airport,YHD,CYHD,49.831661,-92.744102,Canada,1354,Dryden
Dubai Al Minhad Air Base,NHD,OMDM,25.0268,55.366199,United Arab Emirates,165,Minhad AB
Dubai International Airport,DXB,OMDB,25.252769,55.364441,United Arab Emirates,62,Dubai
Dubai World Central International Airport,DWC,OMDW,24.88611,55.172222,United Arab Emirates,170,Dubai
Dubbo City Airport,DBO,YSDU,-32.216599,148.574707,Australia,935,Dubbo
Dublin Airport,DUB,EIDW,53.421379,-6.27,Ireland,242,Dublin
Dublin New River Valley Airport,PSK,KPSK,37.137222,-80.678612,United States,2105,
Dublin W.H. 'Bud' Barron Airport,DBN,KDBN,32.5644,-82.985298,United States,309,Dublin
DuBois Regional Airport,DUJ,KDUJ,41.169998,-78.889999,United States,1817,Du Bois
Dubrovnik Airport,DBV,LDDU,42.561352,18.26824,Croatia,527,Dubrovnik
Dubuque Regional Airport,DBQ,KDBQ,42.400002,-90.699997,United States,1077,Dubuque IA
Duluth International Airport,DLH,KDLH,46.842079,-92.193604,United States,1427,Duluth
Dumaguete City Sibulan Airport,DGT,RPVD,9.333714,123.3004,Philippines,15,Dumaguete
Dumai Pinang Kampai Airport,DUM,WIBD,1.609194,101.433502,Indonesia,55,Dumai
Duncan Halliburton Airport,DUC,KDUC,34.472221,-97.959724,United States,1113,Duncan
Dundee Airport,DND,EGPN,56.452492,-3.02583,United Kingdom,17,Dundee
Dunedin International Airport,DUD,NZDN,-45.928001,170.198303,New Zealand,4,Dunedin
Dunhuang Airport,DNH,ZLDH,40.16111,94.809158,China,9186,Dunhuang
Durango International Airport,DGO,MMDO,24.124189,-104.528,Mexico,6104,Durango
Durango La Plata County Airport,DRO,KDRO,37.151508,-107.752998,United States,6685,Durango
Durant Regional Airport,DUA,KDUA,33.942299,-96.394501,United States,699,
Durban King Shaka International Airport,DUR,FALE,-29.616667,31.108334,South Africa,304,Durban
Dushanbe International Airport,DYU,UTDD,38.543331,68.824997,Tajikistan,2575,Dushanbe
Dusseldorf International Airport,DUS,EDDL,51.289452,6.766775,Germany,147,Duesseldorf
Dusseldorf Monchengladbach Airport,MGL,EDLN,51.23035,6.504494,Germany,125,Moenchengladbach
Dzaoudzi Pamandzi International Airport,DZA,FMCZ,-12.8066,45.280548,Mayotte,23,Dzaoudzi
Eagle Airport,EAA,PAEA,64.778168,-141.150497,United States,908,
Eagle County Regional Airport,EGE,KEGE,39.642551,-106.917,United States,6547,Vail
Eagle River Airport,EGV,KEGV,45.929169,-89.265831,United States,1642,Eagle River
East Hampton Airport,HTO,KHTO,40.959442,-72.251663,United States,56,
East London Airport,ELS,FAEL,-33.0355,27.82593,South Africa,435,East London
East Midlands Airport,EMA,EGNX,52.831108,-1.32805,United Kingdom,306,East Midlands
Easton Airport,ESN,KESN,38.802776,-76.06778,United States,72,Easton
Eastsound Orcas Island Airport,ESD,KORS,48.708332,-122.912498,United States,31,Eastsound
Eau Claire Chippewa Valley Regional Airport,EAU,KEAU,44.860001,-91.480003,United States,913,Eau Claire
Echuca Airport,ECH,YECH,-36.1572,144.761993,Australia,323,
Eday Airport,EOI,EGED,59.191422,-2.77168,United Kingdom,10,Eday
Edinburgh Airport,EDI,EGPH,55.950001,-3.3725,United Kingdom,135,Edinburgh
Edmonton International Airport,YEG,CYEG,53.309719,-113.579002,Canada,2373,Edmonton
Edremit Balikesir Koca Seyit Airport,EDO,LTFD,39.549999,27.01,Turkey,50,Balikesir Korfez
Eek Airport,EEK,PAEE,60.213673,-162.043884,United States,12,Eek
Egilsstadir Airport,EGS,BIEG,65.283333,-14.4013,Iceland,76,Egilsstadir
Eilat Ramon Airport,ETM,LLER,29.723694,35.011417,Israel,252,
Eindhoven Airport,EIN,EHEH,51.45013,5.374528,Netherlands,74,Eindhoven
Eisenach Kindel Airport,EIB,EDGE,50.992779,10.472778,Germany,1101,Eisenach
Ekati Airport,YOA,CYOA,64.699448,-110.614441,Canada,1540,Ekati
El Aaiun Hassan Airport,EUN,GMML,27.151661,-13.2191,Morocco,207,El Aaiún
El Alamein International Airport,DBB,HEAL,30.924444,28.46139,Egypt,143,Dabaa City
El Bagre Airport,EBG,SKEB,7.59647,-74.808899,Colombia,180,El Bagre
El Calafate International Airport,FTE,SAWC,-50.2803,-72.053101,Argentina,669,El Calafate
El Coca Francisco de Orellana Airport,OCC,SECO,-0.46288,-76.986801,Ecuador,834,Coca
El Dorado South Arkansas Regional Airport,ELD,KELD,33.22097,-92.813202,United States,277,El Dorado
El Fasher Airport,ELF,HSFS,13.61489,25.32465,Sudan,2393,El Fasher
El Hierro Airport,VDE,GCHI,27.81484,-17.886999,Spain,103,Hierro
El Lencero Jalapa Airport,JAL,MMJA,19.472221,-96.781944,Mexico,3127,Jalapa
El Monte San Gabriel Valley Airport,EMT,KEMT,34.080002,-118.029999,United States,296,El Monte
El Nido Airport,ENI,RPEN,11.2025,119.416115,Philippines,17,
El Obeid Airport,EBD,HSOB,13.15321,30.23267,Sudan,1927,El Obeid
El Oued Guemar Airport,ELU,DAUO,33.511391,6.776794,Algeria,203,Guemar
El Palomar Airport,EPA,SADP,-34.610001,-58.612499,Argentina,59,El Palomar
El Paso International Airport,ELP,KELP,31.807249,-106.376999,United States,3961,El Paso
El Vigia Juan Pablo Perez Alfonso Airport,VIG,SVVG,8.6333,-71.650002,Venezuela,249,El Vigía
Elazig Airport,EZS,LTCA,38.606918,39.291409,Turkey,2927,Elazig
Elba Marina di Campo Airport,EBA,LIRJ,42.760269,10.23944,Italy,31,Marina Di Campo
Elcho Island Airport,ELC,YELD,-12.019817,135.569794,Australia,100,Elcho Island
Eldoret International Airport,EDL,HKEL,0.404458,35.238918,Kenya,6941,Eldoret
Elim Airport,ELI,PFEL,64.6147,-162.272003,United States,162,Elim
Elista Airport,ESL,URWI,46.370594,44.332966,Russia,501,Elista
Elizabeth City Regional Airport,ECG,KECG,36.260578,-76.1745,United States,10,
Elizabethtown Regional Airport,EKX,KEKX,37.688889,-85.92778,United States,775,
Elk City Regional Business Airport,ELK,KELK,35.430801,-99.394302,United States,2013,
Elkhart Municipal Airport,EKI,KEKM,41.719398,-86.003197,United States,778,Elkhart
Elko Regional Airport,EKO,KEKO,40.824909,-115.791,United States,5140,Elko
Ellensburg Bowers Airport,ELN,KELN,47.033001,-120.530998,United States,1764,
Elmira Corning Regional Airport,ELM,KELM,42.16304,-76.895859,United States,954,Elmira
Ely Airport,ELY,KELY,39.301945,-114.841942,United States,6259,Ely
Emden Airport,EME,EDWE,53.391178,7.227408,Germany,2,Emden
Emerald Airport,EMD,YEML,-23.559999,148.169998,Australia,624,Emerald
Emmonak Airport,EMK,PAEM,62.776943,-164.520828,United States,14,Emmonak
Ende H. Hasan Aroeboesman Airport,ENE,WATE,-8.84929,121.660599,Indonesia,49,Ende
Enfidha Hammamet International Airport,NBE,DTNH,36.091946,10.413889,Tunisia,130,
Enid Woodring Regional Airport,WDG,KWDG,36.3792,-97.7911,United States,1167,
Enontekio Airport,ENF,EFET,68.362579,23.42432,Finland,1005,Enontekio
Enschede Twenthe Airport,ENS,EHTW,52.27,6.874167,Netherlands,114,Enschede
Ensenada Airport,ESE,MMES,31.79528,-116.601997,Mexico,66,Ensenada
Enshi Xujiaping Airport,ENH,ZHES,30.320278,109.485001,China,1607,Enshi
Entebbe International Airport,EBB,HUEN,0.042386,32.443501,Uganda,3782,Entebbe
Enterprise Municipal Airport,ETS,KEDN,31.2997,-85.899902,United States,361,Enterprise
Enugu Akanu Ibiam International Airport,ENU,DNEN,6.474272,7.561961,Nigeria,466,Enugu
Epinal Mirecourt Airport,EPL,LFSG,48.325001,6.066742,France,1084,Epinal
Erbil International Airport,EBL,ORER,36.23761,43.96315,Iraq,1363,Erbil
Ercan International Airport,ECN,LCEN,35.155071,33.502117,Turkey,376,Nicosia
Erenhot Saiwusu International Airport,ERL,ZBER,43.422501,112.096664,China,3301,Erenhot
Erfurt Weimar Airport,ERF,EDDE,50.979809,10.9581,Germany,1036,Erfurt
Erie International Airport,ERI,KERI,42.082001,-80.176201,United States,731,Erie
Erie Municipal Airport,QQE,KEIK,40.010277,-105.048058,United States,5130,
Errachidia Moulay Ali Cherif Airport,ERH,GMFK,31.9475,-4.39833,Morocco,3428,Er-rachidia
Erzincan Airport,ERC,LTCD,39.710201,39.527,Turkey,3783,Erzincan
Erzurum Airport,ERZ,LTCE,39.956501,41.170158,Turkey,5763,Erzurum
Esbjerg Airport,EBJ,EKEB,55.52594,8.553403,Denmark,97,Esbjerg
Escanaba Delta County Airport,ESC,KESC,45.72266,-87.093697,United States,609,Escanaba
Eskilstuna Airport,EKT,ESSU,59.351101,16.708401,Sweden,139,Eskilstuna
Eskisehir Airport,AOE,LTBY,39.811401,30.527,Turkey,2588,Eskissehir
Esmeraldas Carlos Concha Torres International Airport,ESM,SEES,0.978519,-79.626602,Ecuador,32,
Espargos Amilcar Cabral International Airport,SID,GVAC,16.741381,-22.9494,Cape Verde,177,Amilcar Cabral
Esperance Airport,EPR,YESP,-33.68,121.82,Australia,470,Esperance
Esquel Airport,EQS,SAVE,-42.907902,-71.139397,Argentina,2621,Esquel
Essaouira Airport,ESU,GMMI,31.397499,-9.681667,Morocco,383,Essadouira
Essen Mulheim Airport,ESS,EDLE,51.402328,6.937333,Germany,424,Essen
Essendon Airport,MEB,YMEN,-37.728001,144.901901,Australia,282,Melbourne
Eua Kaufana Airport,EUA,NFTE,-21.378,-174.957993,Tonga,325,Eua Island
Eugene Airport,EUG,KEUG,44.12458,-123.210999,United States,374,Eugene
Eureka Airport,YEU,CYEU,79.99472,-85.814102,Canada,272,Eureka
Eureka Murray Field Airport,EKA,KEKA,40.805,-124.114998,United States,7,Eureka
Evansville Regional Airport,EVV,KEVV,38.036991,-87.532303,United States,418,Evansville
Eveleth Virginia Municipal Airport,EVM,KEVM,47.426388,-92.495834,United States,1378,
Evenes Harstad Narvik Airport,EVE,ENEV,68.491302,16.678101,Norway,84,
Everett Paine Field,PAE,KPAE,47.9077,-122.282799,United States,606,Everett
Exeter Airport,EXT,EGTE,50.73444,-3.41388,United Kingdom,102,Exeter
Fagernes Airport,VDB,ENFG,61.015549,9.288056,Norway,2697,Fagernes
Fair Isle Airport,FIE,EGEF,59.530926,-1.608972,United Kingdom,11,Fair Isle
Fairbanks International Airport,FAI,PAFA,64.815109,-147.856003,United States,439,Fairbanks
Fairfield Travis Air Force Base,SUU,KSUU,38.262661,-121.927002,United States,63,Fairfield
Fairmont Municipal Airport,FRM,KFRM,43.643902,-94.415604,United States,1162,
Faisalabad International Airport,LYP,OPFA,31.365009,72.994843,Pakistan,591,Faisalabad
Fakarava Airport,FAV,NTGF,-16.0541,-145.656006,French Polynesia,13,Fakarava
Fakfak Torea Airport,FKQ,WASF,-2.92019,132.266998,Indonesia,462,Fak Fak
Falls International Airport,INL,KINL,48.565578,-93.4021,United States,1185,International Falls
Farah Airport,FAH,OAFR,32.365601,62.165138,Afghanistan,2400,Farah
Fargo Hector International Airport,FAR,KFAR,46.92065,-96.815697,United States,901,Fargo
Faribault Municipal Airport,FBL,KFBL,44.324699,-93.310799,United States,1060,
Farmingdale Republic Airport,FRG,KFRG,40.728889,-73.41333,United States,82,Farmingdale
Farmington Four Corners Regional Airport,FMN,KFMN,36.741249,-108.228996,United States,5506,Farmington
Farmington Regional Airport,FAM,KFAM,37.761101,-90.428596,United States,946,
Farnborough Airport,FAB,EGLF,51.275829,-0.77633,United Kingdom,238,Farnborough
Faro Airport,FAO,LPFR,37.01442,-7.96591,Portugal,24,Faro
Fayetteville Drake Field Airport,FYV,KFYV,36.005089,-94.169998,United States,1252,Fayetteville
Fayetteville Regional Airport,FAY,KFAY,34.990002,-78.879997,United States,189,Fayetteville
Feira de Santana Airport,FEC,SBFE,-12.2003,-38.906799,Brazil,768,
Fergana International Airport,FEG,UTFF,40.358761,71.745018,Uzbekistan,1980,
Fergus Falls Municipal Airport,FFM,KFFM,46.285618,-96.151375,United States,1186,
Fernando de Noronha Airport,FEN,SBFN,-3.85492,-32.423302,Brazil,193,Fernando Do Noronha
Fertoszentmiklos Meidl Airport,QEG,LHFM,47.582779,16.845278,Hungary,440,
Fes Saiss Airport,FEZ,GMFF,33.927261,-4.97795,Morocco,1900,Fes
Figari Sud-Corse Airport,FSC,LFKF,41.50222,9.096667,France,87,Figari
Findlay Airport,FDY,KFDY,41.011944,-83.66861,United States,813,Findley
Fitzroy Crossing Airport,FIZ,YFTZ,-18.1819,125.558998,Australia,368,Fitzroy Crossing
Flagstaff Pulliam Airport,FLG,KFLG,35.140308,-111.668999,United States,7014,Flagstaff
Flensburg Schaferhaus Airport,FLF,EDXF,54.773335,9.378889,Germany,131,Flensburg
Flin Flon Airport,YFO,CYFO,54.678051,-101.681,Canada,997,Flin Flon
Flinders Island Airport,FLS,YFLI,-40.095001,147.996674,Australia,34,Flinders Island
Flint Bishop International Airport,FNT,KFNT,42.96542,-83.743599,United States,782,Flint
Florence Peretola Airport,FLR,LIRQ,43.809952,11.2051,Italy,142,Florence
Florence Regional Airport,FLO,KFLO,34.18536,-79.723801,United States,147,Florence
Florencia Gustavo Artunduaga Paredes Airport,FLA,SKFL,1.588989,-75.563797,Colombia,803,Florencia
Flores Airport,FLW,LPFL,39.455269,-31.1313,Portugal,112,Flores
Flores Mundo Maya International Airport,FRS,MGFL,16.913811,-89.866302,Guatemala,427,
Florianopolis Hercilio Luz International Airport,FLN,SBFL,-27.670401,-48.5471,Brazil,20,Florianopolis
Floro Airport,FRO,ENFL,61.583611,5.024722,Norway,37,Floro
Foggia Gino Lisa Airport,FOG,LIBF,41.432911,15.53502,Italy,266,
Fond Du Lac Airport,ZFD,CZFD,59.334209,-107.18119,Canada,788,Fond-Du-Lac
Fond du Lac County Airport,FLD,KFLD,43.771198,-88.488403,United States,808,Fond du Lac
Forde Airport,FDE,ENBL,61.391109,5.756944,Norway,1046,
Forli Airport,FRL,LIPK,44.194752,12.07009,Italy,97,Forli
Formosa International Airport,FMA,SARF,-26.2127,-58.2281,Argentina,194,Formosa
Fort Albany Airport,YFA,CYFA,52.241669,-81.591667,Canada,53,Fort Albany
Fort Chipewyan Airport,YPY,CYPY,58.76722,-111.116997,Canada,761,Fort Chipewyan
Fort Collins Northern Colorado Regional Airport,FNL,KFNL,40.45182,-105.011002,United States,5016,Fort Collins
Fort Dodge Regional Airport,FOD,KFOD,42.551189,-94.191803,United States,1156,Fort Dodge
Fort Frances Municipal Airport,YAG,CYAG,48.650002,-93.43,Canada,1125,Fort Frances
Fort Good Hope Airport,YGH,CYGH,66.26667,-128.649994,Canada,268,Fort Good Hope
Fort Hope Airport,YFH,CYFH,51.559345,-87.897957,Canada,905,Fort Hope
Fort Huachuca Sierra Vista Municipal Airport,FHU,KFHU,31.58847,-110.344002,United States,4719,Fort Huachuca
Fort Lauderdale Executive Airport,FXE,KFXE,26.197269,-80.1707,United States,13,Fort Lauderdale
Fort Lauderdale Hollywood International Airport,FLL,KFLL,26.07258,-80.152702,United States,9,Fort Lauderdale
Fort MacKay Albian Aerodrome,JHL,CAL4,57.2239,-111.418999,Canada,1048,
Fort MacKay Firebag Aerodrome,YFI,CYFI,57.275833,-110.976669,Canada,1762,
Fort MacKay Horizon Airport,HZP,CYNR,57.381668,-111.701111,Canada,916,Wood Buffalo
Fort McMurray Airport,YMM,CYMM,56.653332,-111.221001,Canada,1211,Fort Mcmurray
Fort Meade Tipton Airport,FME,KFME,39.088482,-76.753716,United States,151,Fort Meade
Fort Myers Page Field Airport,FMY,KFMY,26.586611,-81.863197,United States,17,Fort Myers
Fort Nelson Airport,YYE,CYYE,58.83638,-122.596001,Canada,1253,Fort Nelson
Fort Pierce St. Lucie County International Airport,FPR,KFPR,27.4951,-80.368301,United States,24,Fort Pierce
Fort Severn Airport,YER,CYER,56.0177,-87.677505,Canada,43,Fort Severn
Fort Smith Airport,YSM,CYSM,60.020271,-111.960999,Canada,671,Fort Smith
Fort Smith Regional Airport,FSM,KFSM,35.336578,-94.367401,United States,469,Fort Smith
Fort St. John Airport,YXJ,CYXJ,56.238049,-120.739998,Canada,2280,Fort Saint John
Fort Stockton Pecos County Airport,FST,KFST,30.914251,-102.917603,United States,2997,Fort Stockton
Fort Wayne International Airport,FWA,KFWA,40.97847,-85.195099,United States,814,Fort Wayne
Fort Worth Alliance Airport,AFW,KAFW,32.98,-97.309998,United States,722,Fort Worth
Fort Worth Meacham International Airport,FTW,KFTW,32.819771,-97.362396,United States,710,Fort Worth
Fort Yukon Airport,FYU,PFYU,66.571487,-145.25,United States,447,Fort Yukon
Fortaleza Pinto Martins International Airport,FOR,SBFZ,-3.77628,-38.532501,Brazil,82,Fortaleza
Foshan Shadi Airport,FUO,ZGFS,23.0825,113.070831,China,13,
Foz do Iguacu International Airport,IGU,SBFI,-25.5961,-54.487202,Brazil,787,Foz Do Iguacu
Franca Airport,FRC,SIMK,-20.592199,-47.3829,Brazil,3292,Franca
Frankfort Capital City Airport,FFT,KFFT,38.18,-84.900002,United States,812,Frankfort
Frankfurt Airport,FRA,EDDF,50.037796,8.555783,Germany,364,Frankfurt
Frankfurt Egelsbach Airport,QEF,EDFE,49.961109,8.643611,Germany,385,Egelsbach
Frankfurt Hahn Airport,HHN,EDFH,49.948669,7.263892,Germany,1649,Hahn
Franklin Venango Regional Airport,FKL,KFKL,41.379166,-79.859718,United States,1540,Franklin
Frederick Municipal Airport,FDK,KFDK,39.417599,-77.374298,United States,303,
Frederick Regional Airport,FDR,KFDR,34.352001,-98.983902,United States,1258,
Fredericton International Airport,YFC,CYFC,45.868881,-66.537201,Canada,68,Fredericton
Freeport Grand Bahama International Airport,FPO,MYGF,26.55868,-78.695503,Bahamas,7,Freeport
Freetown Lungi International Airport,FNA,GFLL,8.616444,-13.1954,Sierra Leone,84,Freetown
Fremont Municipal Airport,FET,KFET,41.4491,-96.520203,United States,1204,Fremont
Fresno Yosemite International Airport,FAT,KFAT,36.776192,-119.718002,United States,336,Fresno
Fribourg Ecuvillens Airport,QYE,LSGE,46.755207,7.075892,Switzerland,2993,Ecuvillens
Friday Harbor Airport,FRD,KFHR,48.524807,-123.026497,United States,113,Friday Harbor
Friedrichshafen Airport,FDH,EDNY,47.67131,9.511486,Germany,1367,Friedrichshafen
Fryeburg Eastern Slopes Regional Airport,FRY,KIZG,43.9911,-70.947899,United States,454,Fryeburg
Fuerteventura Airport,FUE,GCFV,28.452709,-13.8637,Spain,83,Fuerteventura
Fujairah International Airport,FJR,OMFJ,25.112221,56.323959,United Arab Emirates,152,Fujeirah
Fukue Airport,FUJ,RJFE,32.66626,128.832794,Japan,273,Fukue
Fukuoka Airport,FUK,RJFF,33.585941,130.450607,Japan,32,Fukuoka
Fukushima Airport,FKS,RJSF,37.227428,140.430603,Japan,1221,Fukushima
Fullerton Municipal Airport,FUL,KFUL,33.872013,-117.979782,United States,96,Fullerton
Funadhoo Airport,FND,VRCF,6.161111,73.287224,Maldives,6,
Funafuti International Airport,FUN,NGFU,-8.525,179.196304,Tuvalu,9,Funafuti
