Name,Code,Code_ICAO,Country
GTA Air,,GTX,United States
Gulf Air,GF,GFA,Oman
Gulf and Caribbean Cargo,IF,TSU,United States
Gulf Wings,,GWC,
GullivAir,G2,GBG,
Guna Airlines,,GUA,Mexico
GX Airlines,GX,CBG,China
Hahn Air,HR,HHN,Germany
Hai Au Aviation,,HAI,Canada
Hainan Airlines,HU,CHH,China
Hangar 8,,HGR,United Kingdom
Hans Airways,,GKS,
Harmony Jets,,HMJ,
Hawaiian Airlines,HA,HAL,United States
Hebei Airlines,NS,HBH,China
Heli Air Monaco,YO,MCM,Monaco
Heli Air Services,,HLR,Bulgaria
Heli Holland,,HHE,Netherlands
Heli Securite,HS,HLI,France
Heli Service International,,HSO,Spain
Helijet International,,JBA,Canada
Helistar,,HSR,United States
HELITY Copter Airlines,,HTY,
Helvetic Airways,2L,OAW,Switzerland
Hera Flight,,HER,France
Hermes Airlines,H3,HRM,Greece
Heron Aviation,,HRN,
Heston Airlines,HN,HST,Greece
Hi Air,4H,HGG,
Hi Fly,5K,HFY,Portugal
Hi Fly Malta,5M,HFM,
Hibernian Airlines,HG,HBN,
Himalaya Airlines,H9,HIM,
Hinterland Aviation,OI,HND,
HiSky,H7,HYM,Nepal
HiSky Europe,H4,HYS,
Hokkaido Air System,,NTH,Japan
Holiday Europe,5Q,HES,
Hong Kong Air Cargo,RH,HKC,
Hong Kong Airlines,HX,CRK,Hong Kong
Hong Kong Express,UO,HKE,Hong Kong
Hop-A-Jet,,HPJ,United States
Horizon Air,QX,QXE,United States
HTM Helicopter Travel Munich,,HTM,
Hummingbird Aviation,,ETI,
Hunnu Air,MR,MML,
Hydro Quebec,0Q,HYD,Canada
Hyperion Aviation,,HYP,
I-Fly,F7,RSY,Russia
iAero Airways,WQ,SWQ,United States
IBC Airways,II,CSQ,United States
Iberia,IB,IBE,Spain
Iberia Express,I2,IBS,Spain
Iberojet,E9,EVE,Germany
Ibex Airlines,FW,IBX,Japan
Ibom Air,QI,IAN,
Icaro,X8,ICD,Ecuador
Icelandair,FI,ICE,Iceland
ICS-Aero,,ICF,
IFL Group,,IFL,United States
ImperialJet,,JTI,Lebanon
IndiGo,6E,IGO,India
Indonesia AirAsia,QZ,AWQ,Indonesia
iNTAIRLINE,,ITI,
Intel Air Shuttle,,HGT,
InterCaribbean Airways,JY,IWY,Turks And Caicos Islands
InterJet West,K8,IJW,
International Committee of the Red Cross,,RED,Switzerland
International Jet Management,,IJM,Austria
InterSky,3L,ISK,Austria
IrAero,IO,IAE,Russia
Iran Air,IR,IRA,Iran
Iran Airtour,B9,IRB,Iran
Iran Aseman Airlines,EP,IRC,Iran
Iraqi Airways,IA,IAW,Iraq
IRS Airlines,,LVB,Nigeria
Israir Airlines,6H,ISR,Israel
Italfly,,ITL,
Italia Trasporto Aereo,AZ,ITY,
Itapemirim Transportes Aereos,8I,IPM,United Kingdom
iXAir,,IXR,France
Izair,4I,IZM,Turkey
Izhavia,I8,IZA,Russia
J-Air,JL,JLJ,Japan
JA Air Charter,,LTD,United States
JAL Express,JC,JEX,Japan
Jambojet,JM,JMA,
Japan Air Commuter,3X,JAC,Japan
Japan Airlines,JL,JAL,Japan
Japan Airlines,JL,JAL,Japan
Japan Transocean Air,NU,JTA,Japan
Jasmin Airways,JO,JAW,Libya
Jazeera Airways,J9,JZR,Kuwait
Jazz Aviation,QK,JZA,Canada
JC Airlines,QD,JCC,Australia
JC Bamford Excavators,,JCB,United Kingdom
Jeju Air,7C,JJA,South Korea
Jet Airways,9W,JAI,India
Jet Asia Airways,JF,JAA,Japan
Jet Aviation Business Jets,,PJS,Switzerland
Jet Aviation Flight Services,,JAS,Japan
Jet Aviation Zurich Airport,,VCN,Switzerland
Jet Charter,N2,JCT,United States
Jet Edge,,EDG,
Jet Executive,,JEI,Germany
Jet Express,,RFE,
Jet Fly Airline,,JFL,Austria
Jet It,,JIT,
Jet Linx Aviation,,JTL,Canada
Jet Logistics,,JLG,
Jet Story,,JDI,Poland
Jet Test International,,JTN,United States
Jet2,LS,EXS,United Kingdom
Jetair Caribbean,4J,JRC,
Jetalliance East,,PLS,
Jetbee Czech,,JBC,
JetBlue Airways,B6,JBU,United States
Jetcall,,JCL,
Jetclub,0J,JCS,Switzerland
Jetconnect,,QNZ,New Zealand
JetFlite,,JEF,Finland
Jetfly Aviation,,JFA,
Jetkontor,,JKH,
JetLite,S2,JLL,
JetNetherlands,,JNL,
JetRight,,JRT,
JetSMART,JA,JAT,Serbia
JetSMART Argentina,WJ,JES,Mexico
Jetstar Airways,JQ,JST,Australia
Jetstar Asia,3K,JSA,Singapore
Jetstar Japan,GK,JJP,Japan
JetStream,,JSH,Hungary
Jetsuite Air,,RSP,United States
Jettime,,JTD,
Jetways Airlines,WU,JWX,
Jiangsu Jingdong Cargo Airlines,,JDL,
Jiangxi Air,RY,CJX,
Jin Air,LJ,JNA,South Korea
Jinxiang Airlines,,JXX,Iceland
Jivair,,JIV,
Jonair,,JON,Ghana
Jonika,,JNK,
Jordan Aviation,R5,JAV,Jordan
Jordan International Air Cargo,,JCI,Jordan
Jota Aviation,,ENZ,United Kingdom
JoyAir,JR,JOY,China
JSX,XE,JSX,
Jubba Airways,JZ,JBW,
Juneyao Air,HO,DKH,China
Jung Sky,,JSY,
Just Us Air,,JOC,
K-Mile Air,8K,KMI,Thailand
K5-Aviation Germany,,KAY,
KaiserAir,,KAI,United States
Kalitta Air,K4,CKS,United States
Kalitta Charters,K9,KFS,United States
Kalitta Charters II,K5,KII,
Kam Air,RQ,KMF,Afghanistan
Kamaka Air,,KMK,
Kan Air,K8,KND,Thailand
KAP.kg,AB,KGS,
Kargo Xpress,WW,KXP,
Kartika Airlines,3Y,KAE,Indonesia
Karun Airlines,,KRU,
KD Air,,KDC,Canada
Keewatin Air,FK,KEW,
Kelowna Flightcraft Air,FK,KFA,Canada
Kenmore Air,M5,KEN,United States
Kenn Borek Air,4K,KBA,Canada
Kenya Airways,KQ,KQA,Kenya
Key Air,,KEY,United States
Key Lime Air,KG,LYM,United States
Keystone Air Service,,KEE,Canada
Khors Air,,KHO,Ukraine
Kish Air,,KIS,Germany
KlasJet,,KLJ,
KLM,KL,KLM,Netherlands
KLM Cityhopper,WA,KLC,Netherlands
KN Helicopters,,SHW,United States
Komiaviatrans,KO,KMA,Russia
Korean Air,KE,KAL,South Korea
Kosmos Airlines,,KSM,Russia
Krasavia,KI,SSJ,
Kunming Airlines,KY,KNA,Canada
Kuwait Airways,KU,KAC,Kuwait
La Compagnie,B0,DJT,United States
Labcorp,,SKQ,United States
LADE,5U,LDE,Argentina
LAM,TM,LAM,Mozambique
Lanmei Airlines,LQ,MKR,
Lao Airlines,QV,LAO,Laos
Lao Skyway,LK,LLL,Laos
LAS Cargo,4L,LAU,Colombia
Laser Airlines,QL,LER,Venezuela
LATAM Airlines,LA,LAN,Chile
LATAM Brasil,JJ,TAM,Brazil
LATAM Cargo Brasil,M3,LTG,
LATAM Cargo Chile,UC,LCO,Chile
LATAM Cargo Colombia,L7,LAE,
LATAM Chile,LU,LXP,Chile
LATAM Colombia,4C,ARE,Colombia
LATAM Ecuador,XL,LNE,Ecuador
LATAM Paraguay,PZ,LAP,Paraguay
LATAM Peru,LP,LPE,Peru
Lauda Europe,LW,LDA,Austria
LC Peru,W4,LCB,Peru
Leader,,LSA,Dominican Republic
Legacy Airways,,LGF,
Legend Airways,,DVY,
LIAT,LI,LIA,Antigua And Barbuda
Libyan Airlines,LN,LAA,Libya
Libyan Wings,YL,LWA,
Liebherr,,LHB,
Lift Airline,GE,GBB,South Africa
Limitless Airways,,LIM,
Línea Turística Aereotuy,,TUY,Venezuela
Lion Air,JT,LNI,Indonesia
Lipican Aer,,LIP,
LLC H3Operations,,UHO,
Loganair,LM,LOG,United Kingdom
LongJiang Airlines,LT,SNG,Senegal
Longtail Aviation,6T,LGT,Bermuda
Loong Air,GJ,CDC,
LOT,LO,LOT,Poland
Lucky Air,8L,LKE,China
Lufthansa,LH,DLH,Germany
Lufthansa Cargo,,GEC,Germany
Lufthansa CityLine,CL,CLH,Germany
Lufttransport,,LTR,Norway
Lunds Universitet,,UNY,Sweden
Luxair,LG,LGL,Luxembourg
Luxaviation,,LXA,Luxembourg
Luxaviation Belgium,,AAB,Belgium
Luxaviation E.A,,LMJ,Portugal
Luxaviation Germany,,LXG,Guinea-Bissau
Luxaviation UK,,LNX,United Kingdom
Luxembourg Air Ambulance,,LRQ,
Luxwing,BN,LWG,
Lydd Air,,LYD,United Kingdom
Lynden Air Cargo,L2,LYC,United States
Lynx Air,Y9,DAT,Belgium
MAE Aircraft Management,MA,MEN,
Magnicharters,UJ,GMT,Mexico
Mahan Air,W5,IRM,Iran
Makers Air,,WMA,
Malawian Airlines,3W,MWI,Malaysia
Malaysia Airlines,MH,MAS,Malaysia
Maldivian,Q2,DQA,Maldives
Maleth-Aero,DB,MLT,
Mali Air,,MAE,Austria
Malindo Air,OD,MXD,Malaysia
Malta Air,AL,MAY,
Manasik Aviation,,MNM,
Mandarin Airlines,AE,MDA,Taiwan
Mango,JE,MNO,South Africa
Mann Yadanarpon Airlines,7Y,MYP,Myanmar (Burma)
Manta Air,NR,MAV,Maldives
Map Linhas Aereas,7M,PAM,Germany
Martinair Holland,MP,MPH,Netherlands
Martinaire,,MRA,United States
MasAir Cargo Airline,M7,MAA,Mexico
MASwings,MY,MWG,
Mauritania Airlines International,L6,MAI,Kyrgyzstan
Mauritania Airlines International,L6,MAI,Mauritania
Max Air,VM,NGL,
Max Aviation,,MAX,Canada
Maxair,,NTW,South Africa
Maximus Airlines,6M,MXM,
Maya Island Air,2M,MYD,Belize
MAYAir,7M,MYI,Mexico
McCall Aviation,,MKL,United States
McNeely Charter Services,,MDS,United States
MEA,ME,MEA,Lebanon
Med-View Airline,VL,MEV,
Medavia,,MDM,Malta
Mel Air,5M,MDO,Dominican Republic
Meraj Airlines,,MRJ,
Mercury Air Cargo,4X,MEC,United States
Meridian,,MEM,Ukraine
Meridian Air Company,,MMM,Russia
Meridian Air Company,,MMM,Myanmar (Burma)
Mesa Airlines,YV,ASH,United States
MHS Aviation,M2,MHV,
Miami Air International,LL,BSK,United States
Miami Air Lease,,MGD,
MIAT Mongolian Airlines,OM,MGL,Mongolia
Mid Africa Aviation,,MFG,
Midwest Aviation,,DZR,
Midwest Aviation Division,,MWT,United States
MJet,,MJF,
MNG Airlines,MB,MNB,Turkey
Moçambique Expresso,,MXE,Mozambique
Modern Logistics,WD,MWM,
Monacair,QM,MCR,
Morningstar Air Express,,MAL,Canada
Motor Sich Airlines,M9,MSI,Ukraine
Mount Cook Airline,NM,NZM,New Zealand
Mountain Air Cargo,C2,MTN,United States
Mountain Aviation,,FTH,
Move,,MVE,
My Indo Airlines,2Y,MYU,
My Jet Saver,,MJS,
Myanmar Airways International,8M,MMA,
Myanmar National Airlines,UB,UBA,Myanmar (Burma)
MyWay Airlines,MJ,MYW,Italy
Naljets Limited,,APX,United States
Nam Air,IN,LKN,Sri Lanka
Nantucket Airlines,,ACK,United States
National Air Charters,JY,JYA,
National Airlines,N8,NCR,United States
National Airways,,NAE,United States
National Jet Systems,,QJE,
Nauru Airlines,ON,RON,Nauru
Nauru Airlines,ON,RON,Nauru
Naysa,ZN,NAY,Spain
Neos,NO,NOS,Italy
Nepal Airlines,RA,RNA,Nepal
Nepal Airlines,RA,RNA,Nepal
Nesma Airlines,NA,NSS,United States
Nesma Airlines,NE,NMA,Egypt
NetJets,1I,EJA,United States
NetJets,1I,EJA,United States
NetJets Europe,,NJE,
Netjets UK,,NJU,
Network Aviation,,NWK,
New England Airlines,EJ,NEA,United States
New England Patriots,,UDG,
NHC Northern Helicopter,,NHC,
NHV,,NHD,
NHV Helicopters,,NHZ,Chad
NightExpress,,EXT,Germany
Nile Air,NP,NIA,Egypt
Nippon Cargo Airlines,KZ,NCA,Japan
Nok Air,DD,NOK,Thailand
Nolinor Aviation,N5,NRL,Canada
Nomadic Aviation,,OMD,
Noordzee Helikopters Vlaanderen,,NHX,
Nordica,ND,NDA,United States
NordStar,Y7,TYA,
Nordwind Airlines,N4,NWS,Russia
Norlandair,,FNA,Iceland
NORRA,N7,FCM,Finland
Norsk Luftambulanse,,DOC,Norway
North Cariboo Air,,NCB,Canada
North Central,,NCJ,
North Flying,,NFA,Denmark
North Pole Parcel Service,,R3D,
North Star Aviation,,MVK,United Kingdom
North-West Air Company,0E,NWC,
North-Western Cargo International Airlines,CO,CNW,China
North-Wright Airways,HW,NWL,Canada
Northeastern Aviation Corporation,,NEW,
Northern Air Cargo,NC,NAC,United States
Northern Thunderbird Air,,NTA,Canada
Northwest Flyers,,NWF,
Northwestern Air,J3,PLR,Canada
Norwegian,,NAX,Norway
Norwegian Air International,,IBK,Norway
Norwegian Air Shuttle AOC,DY,NOZ,
Norwegian Air Sweden,LE,NSW,Australia
Norwegian Air Sweden AOC,D8,NSZ,
Norwegian Air UK,DI,NRS,United States
Norwegian Long Haul,,NLH,Norway
Nouvelair Tunisie,BJ,LBT,Tunisia
Nova Airways,,NOV,Sudan
Novair,NG,NAI,Croatia
Novair,N9,NVR,Sweden
Novoair,VQ,NVQ,
Nyxair,OJ,NYX,
OK Aviation Group,,NTF,
Okay Airways,BK,OKA,China
Olympic Air,OA,OAL,Greece
Olympus Airways,,OLY,Greece
Oman Air,WY,OMA,Oman
Omni Air International,OY,OAE,United States
Omni Air Transport,,DRL,
Omni Aviation,,OAV,Portugal
Omni Taxi Aereo,,OMI,
One Airways,OX,OEW,
Open Skies,LV,BOS,United Kingdom
Orbest,6O,OBS,Portugal
Orenburzhye,O7,ORG,Russia
Oriental Air Bridge,OC,ORC,Australia
Origin Air,OG,OGN,New Zealand
Ornge Air,,PUL,
Oscar Jet,,OSJ,
OSM Aviation Academy,,SCQ,
OTT Airlines,JF,OTT,
Overland Airways,OF,OLA,Nigeria
Oxford Aviation Academy,,OXF,
Paccair,,WIS,United States
Pacific Airline,BL,PIC,Vietnam
Pacific Coast Jet,,PXT,
Pacific Coastal Airlines,8P,PCO,Canada
PADAviation,,PVD,
Pakistan International Airlines,PK,PIA,Pakistan
PAL Airlines,PB,PVL,Italy
PAL Express,2P,GAP,Philippines
Palau Express Airlines,P9,PXC,
Palau National Airlines,4L,PNA,United States
Pan Europeenne Air Service,,PEA,France
Pan Pacific Airlines,8Y,AAV,United States
Panaviatic,,VPC,
Panellenic Airlines,,RJB,
Panorama Aviation,,PNO,
Paranair,ZP,AZP,United States
Pascan Aviation,P6,PSC,Canada
PassionAir,OP,DIG,
Patient Airlift Services,,PLZ,United States
Patria Pilot Training,,PPT,
PAWA Dominicana,7N,PWD,Dominican Republic
Peach,MM,APJ,United States
Pegas Fly,EO,KAR,Finland
Pegasus Airlines,PC,PGT,Turkey
Pegasus Elite Aviation,,PEG,
Pel-Air,,PFY,
People's,PE,PEV,Greece
Perimeter Aviation,YP,PAG,Canada
PHI,,PHM,United States
Philippine Airlines,PR,PAL,Philippines
Philippines AirAsia,Z2,APG,Thailand
Phoenix Air,PH,GRB,
Piedmont Airlines,PT,PDT,United States
Pilatus Flugzeugwerke,,PCH,Switzerland
Pilot Flight Academy,,PIP,
Pineapple Air,,PNP,Bahamas
Pink Sparrow,,SOW,Canada
Pivot Airlines,ZX,GGN,Canada
PixAir Survey,,PXR,
Planemaster Services,,PMS,United States
PlaneSense,,CNS,Canada
Play,OG,FPY,Democratic Republic Of The Congo
Plus Ultra,PU,PUE,Chile
PNG Air,CG,TOK,Papua New Guinea
Pobeda,DP,PBD,Russia
Polar Air Cargo,PO,PAC,United States
Polar Airlines,PI,RKA,Cote D'ivoire (Ivory Coast)
Polish Medical Air Rescue,,LPR,Argentina
Porter Airlines,PD,POE,Canada
Portugália Airlines,NI,PGA,Portugal
Poste Air Cargo,M4,MSA,Italy
Precision Air,PW,PRF,Tanzania
Premier Private Jets,,MVP,
Presidential Aviation,,PRD,United States
Priester Aviation,,PWA,United States
Prime Aviation,,PRZ,Indonesia
Prince Aviation,,PNC,Mexico
Priority Air Charter,,PRY,United States
Privaira,,PVO,United Kingdom
Private Jets,,OKC,
Private Wings,8W,PWF,Germany
Privilege Style,P6,PVG,Spain
ProAir Aviation,,PAV,Kazakhstan
Proflight Air Services,P0,PFZ,Zambia
PSA Airlines,OH,JIA,United States
Qanot Sharq,HH,QNT,Uzbekistan
Qantas,QF,QFA,Australia
QantasLink,,QLK,
Qatar - Amiri Flight,,QAF,Qatar
Qatar Air Cargo,,QAC,Qatar
Qatar Airways,QR,QTR,Qatar
Qatar Executive,QE,QQE,
Qazaq Air,IQ,QAZ,
Qeshm Airlines,QB,QSM,
Qingdao Airlines,QW,QDA,
Qingdao Jiutian International Flight Academy,,QJT,
Queen Air,,QNR,
Quest Diagnostics,,LBQ,United States
Quick Air Jet Charter,,QAJ,Germany
Quikjet Cargo Airlines,QO,FQA,
RAF-Avia,MT,MTL,Latvia
RAM Express,,RXP,Canada
Ravenair,,RVR,United Kingdom
Raya Airways,TH,RMY,
Rayani Air,RN,RKT,United Kingdom
Reach Air Medical Services,,REH,
Real Tonga Airline,,RLT,United States
Rectrix Aviation,,RIX,
Red Air,L5,REA,Ireland
Red Wing Aeroplane,,LAK,
Red Wings,WZ,RWZ,Russia
Redding Aero Enterprises,,BXR,United States
Redstar Aviation,,RHH,
Regent Airways,RX,RGE,
Regional,YS,RAE,France
Regional Air Services,8N,REG,Tanzania
Republic Airways,YX,RPA,United States
Rex,ZL,RXA,Australia
Rhoades Aviation,T4,RDS,United States
Richland Aviation,,RCA,United States
ROMCargo Airlines,NJ,RCR,
Rose Air,,REM,
Rossiya,FV,SDM,Russia
Rossiya - Special Flight Squadron,,RSD,Russia
Rotana Jet,RG,RJD,United Arab Emirates
Royal Air Freight,,RAX,United States
Royal Air Maroc,AT,RAM,Morocco
Royal Brunei Airlines,BI,RBA,Brunei
Royal Falcon,,RFJ,Jordan
Royal Flight,RL,ABG,Russia
Royal Jordanian,RJ,RJA,Jordan
Royal Wings,JO,RYW,
Royalair Philippines,RW,RYL,Aruba
Rubystar,,RSB,Belarus
Ruili Airlines,DR,RLH,
RUS Aviation,R4,RLB,
Rusline,7R,RLU,Russia
Russia - Ministry of Emergency Situations (MChS),,SUM,Russia
Rutaca Airlines,5R,RUC,Venezuela
RVL Aviation,,REV,
RwandAir,WB,RWD,Rwanda
RWL German Flight Academy,,RWL,Germany
Ryan Air (USA),7S,RYA,United States
Ryanair,FR,RYR,Ireland
Ryanair UK,RK,RUK,
Ryukyu Air Commuter,,RAC,Bosnia And Herzegovina
Ryukyu Air Commuter,,RAC,Cambodia
S7 Airlines,S7,SBI,Russia
SA Express,XZ,EXY,South Africa
SAAB Aircraft,,SCT,Sweden
SAAB Nyge Aero,,TGT,Sweden
SAF Helicopteres,,SHP,France
Safarilink Aviation,F2,XLK,Kenya
Safi Airways,4Q,SFW,
Saha Airlines,,IRZ,Iran
SalamAir,OV,OMS,Russia
Salzburg Jet Aviation,,MOZ,
Samoa Airways,OL,PAO,Samoa
San Marino Executive Aviation,,SMF,Sweden
Sansa,,LRS,Costa Rica
Sapsan Airline,,KGB,Kyrgyzstan
Sardinian Sky Service,,SSR,
SAS,SK,SAS,Sweden
SAS Connect,SL,SZS,
SATA Air Acores,SP,SAT,Portugal
Satena,9R,NSE,Colombia
Saudia,SV,SVA,Saudi Arabia
Saurya Airlines,,SAU,Spain
Sawyer Aviation,,SJA,Mexico
SaxonAir,,SXN,
SBA Airlines,S3,BBR,Venezuela
Scanwings,,ABF,Finland
SCAT,DV,VSV,Kazakhstan
Scoot,TR,TGW,Singapore
Scoot,TR,TGW,Australia
Seaborne,BB,SBS,United States
SeaPort Airlines,K5,SQH,United States
Secure Air Charter,,JCM,United States
Sepehran Airlines,IS,SHI,South Korea
Serene Air,ER,SEP,
Servizi Aerei,,SNM,Italy
Sevenair,,RVP,Portugal
Severstal Aircompany,D2,SSF,Russia
SF Airlines,O3,CSS,
Shandong Airlines,SC,CDG,China
Shanghai Airlines,FM,CSH,China
Shenzhen Airlines,ZH,CSZ,China
Shirak Avia,,SHS,Ethiopia
Shree Airlines,N9,SHA,Australia
Shuttle America,S5,TCF,United States
Siam General Aviation,5E,SGN,Thailand
Sichuan Airlines,3U,CSC,China
Sideral Linhas Aereas,,SID,
Sierra West Airlines,P8,PKW,United States
Silesia Air,,SUA,Czechia
Silk Way Airlines,ZP,AZQ,Azerbaijan
Silk Way West Airlines,7L,AZG,Georgia
Silver Air,,SIS,Egypt
Silver Air,,SLD,Czechia
Silver Airways,3M,SIL,Mexico
Silver Cloud Air,,SCR,Thailand
Silverhawk Aviation,,SLH,United States
Silverstone Air Services,,SLR,
Simrik Airlines,,RMK,Nepal
Singapore Airlines,SQ,SIA,Singapore
Singapore Airlines Cargo,,SQC,Singapore
Sirio,,SIO,Italy
Sirius Aero,SA,CIG,Russia
SKS Airways,KI,SJB,
Sky Airline,H2,SKU,Chile
Sky Airline Peru,H8,SKX,Sweden
Sky Angkor Airlines,ZA,SWM,Cambodia
Sky Bus,,HVY,Australia
Sky Cana,RD,SNA,Germany
Sky Express,GQ,SEH,Greece
Sky Gates Airlines,U3,SAY,United Kingdom
Sky KG Airlines,,KGK,
Sky Lease Cargo,GG,KYE,
Sky Mali,ML,FML,
Sky Quest,,ERY,
Skyborne Airline Academy,,SFY,United States
Skybridge,,KYB,Italy
Skybus,,IOS,United Kingdom
Skyfirst,,KFE,
SkyJet Airlines,M8,MSJ,
SkyLink Express,,SLQ,
Skymark Airlines,BC,SKY,Japan
Skyservice Business Aviation,,SYB,
Skytaxi,TE,IGA,Poland
Skytrans,QN,SKP,Canada
SkyUp Airlines,PQ,SQP,
Skyward Express,OW,SEW,
Skyway Enterprises,,SKZ,United States
SkyWest Airlines,OO,SKW,United States
Slam Lavori Aerei,,SLJ,
Sloane Helicopters,,SLN,United Kingdom
Smart Aviation,,SME,Kazakhstan
Smart Jet,,SAH,Kazakhstan
Smartavia,5N,AUL,Russia
Smartline,,SMG,United Kingdom
SmartLynx,6Y,ART,Colombia
SmartLynx Airlines Estonia,,MYX,
SmartLynx Malta,2N,LYX,Pakistan
Smartwings,QS,TVS,Czechia
Smartwings Hungary,7O,TVL,Hungary
Smartwings Poland,3Z,TVP,
Smartwings Slovakia,6D,TVQ,
Solairus Aviation,,TWY,
Solaseed Air,6J,SNJ,Japan
Solenta Aviation,,SET,Ecuador
Solid Air,,SOX,Netherlands
Solinair,SP,SOP,Slovenia
Solomon Airlines,IE,SOL,Solomon Islands
Somon Air,SZ,SMR,Tajikistan
Songbird Airways,6K,SGB,United States
Sounds Air,S8,SDA,Canada
South African Airways,SA,SAA,South Africa
Southern Air,9S,SOO,United States
Southern Air Charter,PL,SOA,Bahamas
Southern Airways Express,9X,FDY,
Southern Cross International,,SXI,
Southwest Airlines,WN,SWA,United States
Sparfell Luftfahrt,,LDX,
Speedwings Executive Jet,,SPG,United States
SpiceJet,SG,SEJ,India
Spirit Airlines,NK,NKS,United States
SpiritJets,,SJJ,United States
Spring Airlines,9C,CQH,China
Spring Airlines Japan,IJ,SJO,Japan
SprintAir,P8,SRN,Russia
SprintAir,P8,SRN,Poland
SriLankan Airlines,UL,ALK,Sri Lanka
Sriwijaya Air,SJ,SJY,Indonesia
St Barth Commuter,PV,SBU,France
St Barth Executive,,STB,Ukraine
STAjets,,KFB,
Star Air,DJ,SRR,Denmark
Star Air,S5,SDG,
Star Air Cargo,,BRH,
Star East Airlines,4R,SEK,Kazakhstan
Star Peru,2I,SRU,Peru
Star Wings,,STQ,Indonesia
Starflyer,7G,SFJ,Japan
Starlight Airlines,QP,SLT,
Starlink Aviation,Q4,TLK,
Starlux,JX,SJX,
Sterling Aviation,,NSH,
Suburban Air Freight,,SUB,United States
Sudan Airways,SD,SUD,Sudan
Summit Air,,SUT,Mexico
Sun Air,1Y,SNR,
Sun Country Airlines,SY,SCX,United States
Sun-Air,EZ,SUS,Denmark
Sunair Aviation,ZU,SAV,Kazakhstan
Sunclass Airlines,DK,VKG,Denmark
Suncor Energy,,JSN,
Sundair,SR,SDR,Sweden
Sundance Air Venezuela,R8,SUV,Venezuela
Sundt Air,,AKK,Canada
Sundt Air,,MDT,Norway
SunExpress,XQ,SXS,Turkey
Sunkar Air,,BBK,
Sunrise Airways,S6,KSZ,Haiti
Sunstate Airlines,,SSQ,Australia
Sunwest Aviation,,CNK,Canada
Sunwing Airlines,WG,SWG,Canada
Suparna Airlines,Y8,YZR,China
Super Air Jet,IU,SJV,
Surf Air,,URF,
Surinam Airways,PY,SLM,Suriname
Susi Air,,SQS,
Svenskt Ambulansflyg,,SWE,Sweden
Svenskt Industriflyg,,JET,Italy
Sweden - Swedish Maritime Administration,,HMF,Sweden
Swiftair,WT,SWT,Spain
Swiftair Hellas,,MDF,Greece
Swiss,LX,SWR,Switzerland
Swiss,LX,SWR,Switzerland
Swiss Air-Ambulance,,SAZ,Switzerland
Swiss Flight Services,,SFS,Canada
Swiss Global Air Lines,LZ,SWU,Switzerland
Swiss Helicopter,,HSI,Switzerland
Swoop,WO,WSW,
Sylt Air,7E,AWU,Germany
Syncrude Canada,,SYN,Canada
Syrian Air,RB,SYR,Syria
T'way Air,TW,TWB,South Korea
TAAG Angola Airlines,DT,DTA,Angola
TAB Cargo,2L,BOL,Bolivia
Taban Airlines,,TBN,Sierra Leone
TAG Airlines,5U,TGU,
TAG Aviation,,VIP,United Kingdom
TAG Aviation Malta,,TEU,
TAG Aviation San Marino,,TAG,United States
Tailwind Air,TQ,PGN,
Tailwind Airlines,TI,TWI,
Tajik Air,7J,TJK,Tajikistan
Talon Air,,TFF,United States
Tanana Air Service,Z3,TNR,United States
Tandem-Aero,TQ,TDM,Moldova
TAP Air Portugal,TP,TAP,Portugal
Taquan Air,K3,TQN,United States
TAR Aerolineas,YQ,LCT,Spain
Tarco Air,3T,TQQ,
Tarom,RO,ROT,Romania
Tasman Cargo Airlines,HJ,TMN,
Tassili Airlines,SF,DTH,Algeria
Tayaran Jet,,TJB,
TCA,N6,TZS,
Tchadia Airlines,OT,CDO,
Ten Airways,X5,OTJ,Romania
Terra Avia,T8,TVR,Ukraine
Texel Air,,XLR,
Tez Jet Airlines,,TEZ,Kyrgyzstan
Thai AirAsia,FD,AIQ,Thailand
Thai AirAsia X,XJ,TAX,Germany
Thai Airways,TG,THA,Thailand
Thai Eastar Jet,ZT,ESS,United States
Thai Lion Air,SL,TLM,Netherlands
Thai Smile,WE,THD,Canada
Thai Vietjet Air,VZ,TVJ,Thailand
The Little Jet Company,,LJC,
Thomas Cook Airlines,MT,TCX,United Kingdom
Thomas Cook Aviation,H3,TCN,United States
Thrive,,TIV,
Thunder Airlines,,THU,Canada
Tianjin Air Cargo,HT,CTJ,
Tianjin Airlines,GS,GCR,China
Tiara Air,3P,TNM,Aruba
Tibet Airlines,TV,TBA,Brazil
Tigerair Taiwan,IT,TTW,
Time Air,,TIE,Czechia
Titan Airways,ZT,AWC,United Kingdom
Titan Airways Malta,TM,TMT,United States
Toll Aviation,,TFX,
Total Cargo,L1,TTL,Brazil
Toyo Aviation,,TOY,Canada
Trade Air,C3,TDR,Croatia
Tradewind Aviation,TJ,GPD,United States
Trans Air Congo,Q8,TSG,Democratic Republic Of The Congo
Trans Guyana Airways,,TGY,Guyana
Trans Maldivian Airways,,TMW,Maldives
Transair,R2,GTS,
Transair,R9,MUI,United States
Transavia,HV,TRA,Netherlands
Transavia France,TO,TVF,France
Transaviabaltika,,KTB,Lithuania
Transaviaexport Airlines,,TXC,Belarus
TransNusa,8B,TNU,Indonesia
Transwest Air,4T,WEW,Canada
Travel Management Company,,TMC,
Tri-MG Intra Asia Airlines,GM,TMG,Indonesia
Tri-State Aero,,TSS,United States
